census_tract;bbl;address;lot;building;entire_vacant;num_floors;num_residential;num_commercial;sealed;sealedtype;possible_vacant;damage_;rent_or_sale;contact_info;construction;occupation;park_use;num_park_floors;cnc_ou_br;num_floors_nc;num_commercial_nc;num_residential_nc;contact_info_nc;num_floors_ic;num_commercial_ic;num_residential_ic;luxury;rent_or_sale_ic;contact_info_ic;obs
393;3032310015;28A CEDAR STREET;;2;1;3;;;1;2;;;2;;2;2;;;;;;;;;;;;;;
393;3032420001;797 BUSHWICK AVENUE;;;;;;;;;;;;;;;;;2;5;;;Minelli Construction Co;;;;;;;
393;3032520020;648 KOSCIUSZKO STREET;;;;;;;;;;;;;;;;;1;3;;;7186226666;;;;;;;
393;3032410001;1132 DE KALB AVENUE;;2;1;3;;;1;2;;;2;;1;;;;;;;;;;;;;;;
393;3032410008;1144 DE KALB AVENUE;;;;;;;;;;;;;;;;;2;4;;;7185993838;;;;;;;
393;3032300011;34 DODWORTH STREET;2;;;;;;;;;;;;;;;;;;;;;;;;;;;
393;3032290031;27 DODWORTH STREET;;;;;;;;;;;;;;;;;1;5;;;6462466200;;;;;;;
393;3032300004;20 DODWORTH STREET;;;;;;;;;;;;;;;;;2;4;;;Abraham Grunhut, Building USA LLC;;;;;;;
393;3032290041;11 DODWORTH STREET;;;;;;;;;;;;;;;;;1;3;;;Behrouz Shavoulian;;;;;;;
393;3032140028;507 HART STREET;;2;1;2;;;1;4;;2;2;;2;2;;;;;;;;;;;;;;
393;3032040031;690 BUSHWICK AVENUE;;;;;;;;;;;;;;;;;2;2;;;;;;;;;;
393;3032040024;682 BUSHWICK AVENUE;;;;;;;;;;;;;;;;;1;4;;;;;;;;;;
393;3032040019;906 WILLOUGHBY AVENUE;;2;1;2;;;1;2;;;2;;2;2;;;;;;;;;;;;;;
393;3031930017;979 BROADWAY;2;;;;;;;;;;;;;;;;;;;;;;;;;;;
393;3031930018;977 BROADWAY;2;;;;;;;;;;;;;;;;;;;;;;;;;;;
393;3031930020;975 BROADWAY;2;;;;;;;;;;;;;;;;;;;;;;;;;;;
393;3031930120;973 BROADWAY;2;;;;;;;;;;;;;;;;;;;;;;;;;;;
393;3031930021;971 BROADWAY;2;;;;;;;;;;;;;;;;;;;;;;;;;;;
393;3031930121;969 BROADWAY;2;;;;;;;;;;;;;;;;;;;;;;;;;;;
393;3031930022;967 BROADWAY;2;;;;;;;;;;;;;;;;;;;;;;;;;;;
393;3031930003;1168 MYRTLE AVENUE;2;;;;;;;;;;1;7187653858;;;;;;;;;;;;;;;;
395;3032530022;304 EVERGREEN AVENUE;;2;1;3;;;1;2;;2;2;;2;2;;;;;;;;;;;;;;
395;3032530023;306 EVERGREEN AVENUE;;2;1;3;;;2;;1;3;2;;1;2;;;;;;;;;;;;;;
395;3032730010;1197 BROADWAY;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;
395;3032730014;1124 LAFAYETTE AVENUE;;;;;;;;;;;;;;;1;;;;;;;;;;;;;
395;3032630042;1137 LAFAYETTE AVENUE;;;;;;;;;;;;;;;2;;;;;;;;;;;;;
395;3032740001;869 BUSHWICK AVENUE;;2;1;7;;;2;;1;;2;;1;2;;;;;;;;;;;;;;
395;3032840016;24 HARMAN STREET;;;;;;;;;;;;;;;;;1;4;;;Harman Realty NY LLC;;;;;;;
395;3032730001;1213 BROADWAY;;;;;;;;;;;;;;;;;1;3;;;7186252000;;;;;;;
395;3032830011;584 VAN BUREN STREET;;;;;;;;;;;;;;;;;1;4;1;3;;;;;;;;
395;3032930015;12 GOODWIN PLACE;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
395;3032930021;26 GOODWIN PLACE;;2;1;2;;;1;2;;2;2;;2;2;;;;;;;;;;;;;;
395;3033130021;69 GROVE STREET;;;;;;;;;;;;;;;;;1;3;;;Green Complex LLC;;;;;;;
395;3033130014;428 EVERGREEN AVENUE;;;;;;;;;;;;;;;;;2;3;;;E&J Construction;;;;;;;
395;3032950024;23 BLEECKER STREET;;;;;;;;;;;;;;;;;1;5;;;9177498651;;;;;;;
395;3032950001;1118 GREENE AVENUE;;;;;;;;;;;;;;;;;2;3;;;;;;;;;;
397;3033870008;1517 BROADWAY;;3;1;4;3;1;1;2;;3;2;;2;2;;;;;;;;;;;;;;
397;3033480038;1090 BUSHWICK AVE;;2;1;4;;;1;3;;2;2;;2;1;;;;;;;;;;;;;;Trash suggests informal occupation
397;3033660038;1134 BUSHWICK AVE;;2;1;3;;;1;2;;2;2;;2;2;;;;;;;;;;;;;;
397;3033660039;1136 BUSHWICK AVE;;2;1;4;;;1;2;;2;2;;2;2;;;;;;;;;;;;;;
397;3033660040;1138 BUSHWICK AVE;;2;1;4;;;2;;;2;2;;2;2;;;;;;;;;;;;;;Place was abandoned, and it will be demolished because of a fire
397;3033660041;1140 BUSHWICK AVE;;2;1;4;;;2;;;2;2;;2;2;;;;;;;;;;;;;;Where the fire started, it will be demolished
397;3033660042;1144 BUSHWICK AVE;;2;1;4;;;2;;;2;2;;2;2;;;;;;;;;;;;;;Where the fire started, it will be demolished
397;3033480032;1178 BUSHWICK AVE;;;;;;;;;;;;;;;;;2;5;1;4;Building USA LLC +1(718)599-0024;;;;;;;
397;3033480042;1098 BUSHWICK AVE;;;;;;;;;;;;;;;;;2;4;;4;;;;;;;;
397;3033870041;1214 BUSHWICK AVE;;2;1;4;;;2;;1;2;2;;2;2;;;;;;;;;;;;;;
397;3033870042;1216 BUSHWICK AVE;;2;1;4;;;1;2;;2;2;;1;2;;;;;;;;;;;;;;
397;3033940033;1230 BUSHWICK AVE;;2;1;3;;;1;3;;2;1;Contact +1(718)418-8800;2;2;;;;;;;;;;;;;;
397;3033870044;1021 HANCOCK;1;;;;;;1;2;;1;2;;2;2;;;;;;;;;;;;;;Tags on the wood gates
397;3033870001;1531 BROADWAY (CORNER WITH HANCOCK STREET);1;;;;;;2;;1;2;2;;2;2;;;;;;;;;;;;;;Used as storage
397;3033730001;1485 BROADWAY (CORNER WITH CORNELIA STREET);2;;;;;;;;;;;;;;;;;;;;;;;;;;;Used as mini golf field
397;3033800009;1487 BROADWAY (CORNER WITH CORNELIA STREET);;1;1;2;;;2;;1;;2;;2;2;;;;;;;;;;;;;;
397;3033390012;1110 GATES AVE;;2;1;4;;;2;;1;;2;;2;2;;;;;;;;;;;;;;Neighbor informed us the building is vacant
397;3033390019;1054 BUSHWICK AVE;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;
397;3033390019;1054 BUSHWICK AVE;2;;;;;;;;;;;;;;;;;;;;;;;;;;;Verizon Parking
397;3033390019;1054 BUSHWICK AVE;;3;1;4;3;1;2;;1;2;2;;2;2;;;;;;;;;;;;;;Ridgewood Masonic Temple
397;3033300043;1083 GATES AVE;2;;;;;;;;;;;;;;;1;;;;;;;;;;;;Used as parking lot
397;3033300041;1089 GATES AVE;2;;;;;;;;;;;;;;;1;;;;;;;;;;;;Used as parking lot
397;3033870001;1531 BROADWAY (CORNER WITH JEFFERSON AVE);1;;;;;;1;3;;;2;;2;2;;;;;;;;;;;;;;
397;3033870001;1531 BROADWAY (JEFFERSON AVE);1;;;;;;1;3;;;2;;2;2;;;;;;;;;;;;;;
397;3033870001;1531 BROADWAY (JEFFERSON AVE);1;;;;;;1;3;;;2;;2;2;;;;;;;;;;;;;;
397;3033800059;1033 JEFFERSON AVE;2;;;;;;1;3;;;2;;2;2;;;;;;;;;;;;;;Used as storage by the owner
397;3033870014;1038 JEFFERSON AVE;2;;;;;;1;3;;;2;;2;2;;;;;;;;;;;;;;Used as storage by the owner
397;3033800055;1041 JEFFERSON AVE;;2;1;4;;;1;2;;;2;;2;2;;;;;;;;;;;;;;Same person owns 1041, 1048 and parking lot located in Jefferson Ave
397;3033870016;1042 JEFFERSON AVE;1;;;;;;1;3;;;2;;2;2;;;;;;;;;;;;;;
397;3033870019;1048 JEFFERSON AVE;;2;1;3;;;1;2;;;2;;2;2;;;;;;;;;;;;;;Same person owns 1041, 1048 and parking lot located in Jefferson Ave
397;3033870020;1050 JEFFERSON AVE;2;;;;;;;;;;;;;;;1;;;;;;;;;;;;Used as parking lot
397;3033870021;1052 JEFFERSON AVE;2;;;;;;;;;;;;;;;1;;;;;;;;;;;;Used as parking lot
397;3033390019;1054 JEFFERSON AVE;2;;;;;;;;;;;;;;;1;;;;;;;;;;;;Used as parking lot
397;3033870025;1060 JEFFERSON AVE;2;;;;;;;;;;;;;;;;;;;;;;;;;;;Used as parking lot
397;3033870026;1062 JEFFERSON AVE;2;;;;;;;;;;;;;;;;;;;;;;;;;;;Used as parking lot
397;3033870028;1066 JEFFERSON AVE;1;;;;;;1;3;;;2;;2;2;;;;;;;;;;;;;;
397;3033730045;35 CORNELIA STREET;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;Used as garage for 35 Cornelia Street
397;3033480010;1389 BROADWAY (WOODBINE STREET);1;;;;;;1;5;;2;1;Contact: +1(800)808-0752;;;;;;;;;;;;;;;;"We buy houses; Graffiti tags"
397;3033570014;14 WOODBBINE STREET;;2;1;4;;;1;3;;2;2;;2;2;;;;;;;;;;;;;;
397;3033480051;25 WOODBINE STREET;;;;;;;;;;;;;;;;;1;4;;4;;;;;;;;Probably converted use from commercial to residential
397;3033480050;27 WOODBINE STREET;1;;;;;;1;2;;2;2;;2;2;;;;;;;;;;;;;;
397;3033480047;33 WOODBINE STREET;;2;2;1;2;;2;;2;2;1;Glady's Martinez Incomplete number +1 848-4700;;;;;;;;;;;;;;;;
397;3033570030;38 WOODBINE STREET;;2;1;3;;;1;2;;2;2;;2;2;;;;;;;;;;;;;;
397;3033480012;10 PALMETTO;;2;1;5;;;2;2;;2;2;;1;;;;;;;;;;;;;;;A neighborhood informed us the rehabilitation started in November 2014)
397;3033390043;15 PALMETTO;;2;1;;;;2;;1;2;2;;1;2;;;;;;;;;;;;;;
397;3033480028;42 PALMETTO;;2;1;;;;1;2;;;2;;1;2;;;;;;;;;;;;;;Possible air rights (construction of 2 more floors)
397;3033210052;1327 BROADWAY (CORNER WITH LINDEN STREET);2;;;;;;;;;;;;;;;;;;;;;;;;;;;Community Garden since 1970's riots (organized by Linden homeowners)
397;3033210052;1327 BROADWAY (LINDEN STREET);1;;;;;;1;3;;;;;;;;;;;;;;;;;;;;
397;3033210052;1327 BROADWAY (LINDEN STREET);1;;;;;;1;3;;;;;;;;;;;;;;;;;;;;
397;3033300013;34 LINDEN;;2;1;3;;;1;2;;2;2;;2;2;;;;;;;;;;;;;;
397;3033730013;1096 PUTNAM;2;;;;;;;;;;;;;;;;;;;;;;;;;;;Used as parking lot
397;3033730011;1098 PUTNAM;2;;;;;;;;;;;;;;;;;;;;;;;;;;;Used as parking lot
397;3033730016;1102 PUTNAM;;2;1;4;;;1;2;;1;2;;2;1;;;;;;;;;;;;;;"Structure might not be secure; maybe it was previous occupied"
397;3033730024;1118 PUTNAM;;2;2;1;;;1;2;;2;2;;2;2;;;;;;;;;;;;;;
397;3033570065;951 MADISON;;;;;;;;;;;;;;;;;1;5;1;4;Broadway Bushwick Builders, LP +1(212)935-4136;;;;;;;
397;3033660011;952 MADISON;;;;;;;;;;;;;;;;;1;4;;4;Zhingri Builders Inc +1(516)807-7434;;;;;;;
397;3033660023;974 MADISON;2;;;;;;;;;;;;;;;;;;;;;;;;;;;Used as Community Garden (owned by the city)
397;3033660025;976 MADISON;;;;;;;;;;;;;;;;;1;5;;5;Ile Construction +1(718)276-2866;;;;;;;
397;3033660028;982 MADISON;2;;;;;;;;;;;;;;;;;;;;;;;;;;;Used as parking lot/ Vacant for 30 years
397;3033660029;984 MADISON;2;;;;;;;;;;;;;;;;;;;;;;;;;;;Used as parking lot/ Vacant for 30 years
397;3033660030;986 MADISON;2;;;;;;;;;;;;;;;;;;;;;;;;;;;Used as parking lot/ Vacant for 30 years
399;3033880046;1073 HANCOCK STREET;;2;1;3;3;;2;;;2;2;;1;2;;;;;;;;;;;;;;
399;3033810056;1111 JEFFERSON AVENUE;;2;1;3;3;;2;;;;1;BEDFORD BROWNSTONE BBRHOMES.NET (917) 450-4341/LESLIE (718) 809-1629;2;2;;;;;;;;;;;;;;
399;3033810053;1117 JEFFERSON AVENUE;;2;1;3;3;;2;;;;2;;1;2;;;;;;;;;;;;;;
399;3033880030;1140 JEFFERSON AVENUE;;2;1;3;3;;1;2;;;2;;2;2;;;;;;;;;;;;;;
399;3033740024;1178 PUTNAM AVENUE;;;;;;;;;;;2;;;;;;2;3;;3;ABRAHAM GRUNHUT/AVIV SABONI/BUILDING USA, PREMIER SEWER & WATERMAN LLC (NAMES ON PERMITS);;;;;;;
399;3033670041;1183 PUTNAM AVENUE;;2;1;4;4;;1;5;;3;2;;2;2;;;;;;;;;;;;;;
399;3033670018;1028 MADISON STREET;;2;1;3;3;;1;2;;;2;;2;2;;;;;;;;;;;;;;
399;3033490040;75 WOODBINE STREET;;2;1;3;3;;1;3;;;2;SOLOMON SECURITY (917) 500-1025;;;;;;;;;;;;;;;;
399;3033490032;522 EVERGREEN AVENUE;;2;1;2;2;;2;;;;1;(917) 496-5838 RAPIDNYC.COM;;;;;;;;;;;;;;;;
399;3033490030;518A EVERGREEN AVENUE;;;;;;;;;;;2;;;;;;1;3;;3;EMMA GROUP MANAGEMENT INC (718) 454-5540 70-09 73RD PL GLENDALE, NY/ARNOLD MONTAG ARCHITECT (516) 829-7939 (718) 428-3366;;;;;;;
399;3033400006;1166 GATES AVENUE;;2;1;3;3;;2;;;;2;;1;2;;;;;;;;;;;;;;
399;3033310005;66 LINDEN STREET;;2;1;3;3;;1;2;;;2;;2;2;;;;;;;;;;;;;;
399;3033220008;72 GROVE STREET;2;;;;;;;;;2;2;;;;;;;;;;;;;;;;;
399;3033490024;84 PALMETTO STREET;2;;;;;;;;;;2;;;;;;;;;;;;;;;;;
399;3033490025;510 EVERGREEN AVENUE;2;;;;;;;;;;2;;;;;;;;;;;;;;;;;
399;3033580006;1109 BUSHWICK AVENUE;;;;;;;;;;;2;;;;1;;;;;;;;;;;;;
399;3033880007;1203 BUSHWICK AVENUE;;;;;;;;;;;2;;;;;;2;4;;4;BUSHWICK 1203 LLC NYC.GOVE/BUILDINGS;;;;;;;
401;3034200048;21 SCHAEFER STREET;;;;;;;;;;;2;;;;;;;;;;;;;;;;;
401;3034010037;1262 BUSHWICK AVENUE;1;;;;;;;;;;2;;;;;;;;;;;;;;;;;
401;3034140040;1294 BUSHWICK AVENUE;1;;;;;;;;;;2;;;;;;;;;;;;;;;;;
401;3034080055;23 ELDERT STREET;2;;;;;;;;;;2;;;;;;;;;;;;;;;;;
401;3034080054;25 ELDERT STREET;2;;;;;;;;;;2;;;;;;;;;;;;;;;;;
401;3034140005;1629 BROADWAY;3;;;;;;;;;;2;;;;;;;;;;;;;;;;;
401;3034210060;59 SCHAEFER STREET;1;;;;;;;;;;2;;;;;;;;;;;;;;;;;
401;3034260039;1009 DECATUR STREET;1;;;;;;;;;;2;;;;;;;;;;;;;;;;;
401;3034270008;1345 BUSHWICK AVENUE;;;;;;;;;;;2;;1;2;;;2;3;;3;;;;;;;;
401;3034140122;28 ELDERT STREET;;;;;;;;;;;2;;1;2;;;2;3;;3;;;;;;;;
401;3034080048;37 ELDERT STREET;;;;;;;;;;;2;;1;2;;;1;4;;4;MICHELLE SAN MIGUEL/MRMD NY CORP (718) 332-7332;;;;;;;
401;3034210059;61 SCHAEFER STREET;;2;1;3;3;;1;2;;;2;;1;2;;;;;;;ACCRETE CONSTRUCTION (212) 390-8353;;;;;;;
401;3034200029;1318 BUSHWICK AVENUE;;3;1;3;2;1;1;2;;;1;TRI-STATE COMMERCIAL (917) 409-6066;1;2;;;;;;;ABRAHAM GRUNHUT (NAME ON PERMITS);;;;;;;
401;3034200014;16 COVERT STREET;;2;1;3;3;;1;2;;;1;WE BUY HOUSES AND LAND CASH (718) 949-5555;2;2;;;;;;;;;;;;;;
401;3034080045;43 ELDERT STREET;;2;1;3;3;;1;5;;;2;;1;2;;;;;;;;;;;;;;
401;3034150008;1297 BUSHWICK AVENUE;;2;1;3;3;;1;1;;;2;;2;2;;;;;;;;;;;;;;
401;3034090001;1287 BUSHWICK AVENUE;;3;2;3;2;1;2;;;;1;RAPID REALTY (646) 820-6399;2;2;;;;;;;;;;;;;;
401;3034150032;96 ELDERT STREET;;2;1;3;3;;1;2;;;2;;1;2;;;;;;;;;;;;;;
401;3034090028;1068 HALSEY STREET;;2;1;4;4;;2;;;;2;;1;2;;;;;;;;;;;;;;
401;3034020004;1261 BUSHWICK AVENUE;;2;1;4;4;;1;3;;;2;;1;2;;;;;;;;;;;;;;
401;3034020006;1255 BUSHWICK AVENUE;;1;1;2;;2;2;;;2;2;;2;2;;;;;;;;;;;;;;
401;3034260026;40 SCHAEFER STREET;;2;2;4;4;;2;;;3;2;;2;2;;;;;;;;;;;;;;
401;3034140040;1294 BUSHWICK AVENUE;;2;1;3;3;;1;2;;;2;;2;2;;;;;;;;;;;;;;
401;3034010004;1567 BROADWAY;;3;2;3;2;1;1;3;;;2;;2;2;;;;;;;;;;;;;;
401;3034010010;12 WEIRFIELD STREET;;5;1;2;;;1;1;;;2;;2;2;;;;;;;;;;;;;;
401;3034010006;1561 BROADWAY;;3;2;3;2;1;2;;;;2;;2;2;;;;;;;;;;;;;;
403;3034500043;1454 Bushwick Avenue;;2;1;3;;;1;2;;;2;;1;;;;;;;;;;;;;;;NYC DOB Work Permit
403;3034500032;666 Chauncey Street;;2;1;3;;;1;2;;;2;;2;2;;;;;;;;;;;;;;
403;3034500028;656 Chauncey Street;1;;;;;;;;;;2;;;;;;;;;;;;;;;;;THERE IS NO 656 CHAUNCEY! CHECK THIS!
403;3034500023;648 Chauncey Street;;2;1;3;;;2;;;;1;917-575-7033;;;;;;;;;;;;;;;;
403;3034380064;7 Moffat Street;1;;;0;;;;;;;2;;;;;;;;;;;;;;;;;Overgrown with weeds, fenced off
403;3034380046;43 Moffat Street;;2;1;4;;;1;2;1;2;2;;2;1;;;;;;;;;;;;;;People Inside
403;3034380034;1392 Bushwick Avenue;;2;1;4;;;2;;1;;1;Transvilla Real Estate;2;2;;;;;;;;;;;;;;
403;3034320043;37a Cooper Street;;2;;4;;;;;;;2;KP Developers;;;;;;;;;;;;;;;;
403;3034320050;23 Cooper Street;;2;2;3;;;;;;;2;;;1;;;;;;;;;;;;;;
403;3034320018;988 Decatur Street;;;;4;;;;;;;2;;1;;;;2;4;;;;;;;;;;
403;3034320026;1008 Decatur Street;;;;;;;;;;;2;;1;;;;;;;;ILE Construction Group;;;;;;;
403;3034320027;1010-1016 Decatur Street;;;;;;;;;;;2;;1;;;;;;;;ILE Construction Group;;;;;;;
403;3034390001;1411 Bushwick Avenue;;2;2;2;;;;;;;2;;;;;1;;;;;;;;;;;;Very very old
403;3034390019;76a Cooper Street;;2;2;3;;;1;5;;;2;;;;;;;;;;;;;;;;;Only basement inhabited
